Catalog ID,Item Name,Equipment,Brand,Stock,Notes
1244,"Llave Combinacion 1-3/8""",Herramienta Manual,Urrea,1,
,Llave Tubo Tipo T,Herramienta Manual,,1,
5461,"Extension de 1/2""x5""",Herramienta Manual,Urrea,1,
,"Pinzas de Presion 10""",Herramienta Manual,Truper,1,
PFP10,"Pinzas de Presion 10""",Herramienta Manual,Surtek,3,
,"Pinzas de Presion 10""",Herramienta Manual,Urrea,1,
293R,"Pinzas de Presion 10""",Herramienta Manual,Urrea,1,
,"Llave Ajustable con grip 1""",Herramienta Manual,Surtek,2,
,Pinzas de Punta Conica,Herramienta Manual,Urrea,1,
,Pinzas Pela-Cable Amarillas,Herramienta Manual,,1,
,Pinzas de Boca Plana Cafes,Herramienta Manual,,1,
,Pinzas de Electricista de Corte Lateral Azules,Herramienta Manual,,1,
,"Desarmador 3"" Negro",Herramienta Manual,,1,
,Pinzas de Presion Tipo C,Herramienta Manual,Truper,3,
266R,"Pinzas de Presion Tipo C 11""",Herramienta Manual,Urrea,1,
,"Pinzas de Corte Diagonal Negras 5.5"" ",Herramienta Manual,Surtek,1,
,Pinzas de Presion Tipo C,Herramienta Manual,,1,
,Tijeras para Corte de Mangera,Herramienta Manual,Surtek,1,
 ,Llave Ajustable Pavonada 1-1/2x12,Herramienta Manual,Urrea,1,
17424,"Pinzas de Presion 10""",Herramienta Manual,Truper,1,
,Palanca Manual para Valvula de Mariposa,Herramienta Manual,,1,
,Pinzas de Electricista de Corte Lateral Rayado Azul y Rojo,Herramienta Manual,,1,
,Pinzas de Extension Quijada Lisa,Herramienta Manual,Surtek,1,
,Pinzas de Corte Diagonal Alta Palanca,Herramienta Manual,,1,
,Pinzas para Anillos de Retencion Amarillas,Herramienta Manual,Surtek,1,
,"Desarmador 3.5"" Cruz",Herramienta Manual,Truper,0,
,"Desarmador 3.5"" Plano",Herramienta Manual,Truper,0,
